|job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
10|https://joblab.ru/vac11119261.html|Инженер технической поддержки /младший системный администратор|"ООО ""ЭйчАр-Партнер"""|Москва|от 65 000 руб.|Полный рабочий день|Форма найма: На первое время Договор с самозанятым (далее планируется оформление по трудовому договору по ТК РФ) , График работы: с 09:00 до 18:00 при 5 -дневной рабочей неделе. полная занятость, , полный день по согласованию возможно сдвинуть на 1 час раньше или позже, Заработная плата с каждым кандидатом обсуждается индивидуально в зависимости от уровня компетенций|Организация новых рабочих мест сотрудников, установка и настройка пользователям ПО локально и удаленно , Обеспечение бесперебойной работы корпоративной ИТ инфраструктуры , Замена, установка комплектующих ПК , Консультирование и осуществление технической поддержки пользователей лично, по почте и удаленно по телефону , Подбор, установка, настройка и диагностика офисной техники , Установка и настройка сетевого оборудования (коммутаторов, маршрутизаторов, Wi-Fi) , В случае аварий выезды в доп. офисы|Среднее|От 1 года|Необходимый опыт: от 1 года на аналогичных позициях, Специальные навыки, необходимые кандидату: , Навыки администрирования Windows, диагностика, устранение ошибок Опыт подключения и настройки оргтехники: МФУ, принтеры, сканеры Умение самостоятельно находить решение проблем по заявкам пользователей, Знание принципов работы сетевых протоколов и базовых принципов построения компьютерных сетей (router, VLAN, WiFi, DNS, DHCP и т.д.) , Знание иностранных языков: владение иностранными языками: чтение технической документации на английском с онлайн переводчиком, Компьютерные навыки: Продвинутый пользователь ПК|17.10.2023 13:45:00|68|
11|https://joblab.ru/vac11052961.html|Специалист по 1С|"ООО ""ЛАКОНЕР"""|Дмитров|По договоренности|Полный рабочий день|"Работа в крупной стабильной компании ООО ""ЛАКОНЕР"" (производитель корпусной мебели по индивидуальным размерам)., Официальное трудоустройство по ТК РФ с первого дня, Своевременная выплата заработной платы 2 раза в месяц, Комфортное рабочее место, График работы 5/2 с 08:00 до 17:00, Окончательный уровень заработной платы оговаривается по результатам собеседования."|Администрирование и настройка сервера 1С, Настройка обменов между программами 1С, Настройка интеграций между базами 1С и сайтом, сторонними системами, Переносы данных между базами 1С в т.ч. из внешних источников, Выполнение работ в 1С конфигурациях. Обновление 1С баз и конфигурация, Решение технических проблем с 1С, Сбор функциональных требований от конечных пользователей.|Высшее|От 2 лет|Опыт работы не 2-х лет с продуктами 1С, преимущественно 1С комплексная автоматизация (работа с САПР Базис, Битрикс 24, PRO100 является преимуществом), Опыт участия как минимум в 2-х проектах внедрения 1С в роли старшего консультанта/консультанта по оперативному учету (подсистема продаж производство и CRM (24), Понимание общей концепции системы, уверенное знание возможностей конфигураций 1С. CRM., Анализ потребностей, анонсирование, разработка, внедрение, Владение методологией сбора и анализа требований к автоматизации бизнес-процессов, Опыт разработки проектной документации, описания требований к ПО (технические задания, концепции, спецификации, протоколы)., Добавочный телефон для связи 8-905-767-54-06, Ольга|17.10.2023 13:44:00|82|
12|https://joblab.ru/vac10835715.html|Специалист службы технической поддержки (2/2)|Алло Инкогнито|Москва|50 000 руб.|Сменный график|Работа в современной растущей Компании, в дружном коллективе. Оформление по ТК РФ, полный социальный пакет., График работы сменный 2/2., Комфортный офис с зоной кофе-поинта (вкусный кофе, чай)., Территориально: шаговая доступность от метро Марьина Роща.|Регистрация и обработка абонентских заявок на обращение Клиентов, связанных с ограничением или отсутствием связи., Решение проблем в соответствии с установленной процедурой., Анализ текущей ситуации на выявление аварий, связанных с отсутствием связи у Клиента., Своевременное оповещение Клиентов о статусе решения вопроса по его заявке., Расчет компенсации по факту проверки информации по начислениям в биллинговой программе и детализации., Обработка отчетов по количеству исходящего трафика Клиентов.|Среднее специальное|От 1 года|Техническое образование без предъявления требований к стажу работы., Владения базовыми знаниями о принципах и протоколах связи и передачи данных., Умение работать с вычислительной техникой на уровне взаимодействия с операционной системой., Обучаемость, Самостоятельность, быстрое принятие решений, ориентированность на результат|17.10.2023 13:41:00|73|
13|https://joblab.ru/vac10981198.html|Системный администратор|"ООО ""Инновационные Технологии Безопасности"""|Москва|до 110 000 руб.|Полный рабочий день|График работы 5/2., Время работы с 9 до 18 часов., Заработная плата по результатам собеседования., Полный рабочий день, На территории работодателя, Оформление по ТК РФ|Техническое обслуживание и ремонт ПК, оргтехники, сетевого оборудования, Установка на серверы и рабочие станции ОС и ПО, Конфигурирование установленного ОС и ПО, Поддержка работоспособности сетевой инфраструктуры, Администрирование распределенной корпоративной сети, Настройка обновление и поддержка ЭЦП (Банки, электронные площадки, казначейство), Информационная безопасность компании (защита корпоративной информации, архивирование и восстановление данных, антивирусные мероприятия)|Среднее специальное|От 3 лет|Знания: MS Windows (AD, DNS, GPO, Terminal Server, Hyper-V), MS Exchange, MS SQL Server, сетевое оборудование., Практический опыт внедрения и администрирования: сервисов на базе nix, распределенных VPN сетей, терминальных служб., Опыт развертывания и администрирование 1С (создание, backup, восстановление баз данных, администрирование и настройка прав для пользователей)., Знание RAID и опыт работы (создание, настройка, восстановление)., Знание современного железа и умение правильно его настроить., Опыт работы в должности системного администратора в компаниях с территориально-распределенной структурой.|17.10.2023 13:30:00|71|
14|https://joblab.ru/vac10935392.html|Администратор|"ООО ""СТМ-Ект"""|Екатеринбург|от 52 000 руб.|Полный рабочий день|Наши условия для вас:, График работы 2/2 , Часы работы с 10:00 до 19:00 часов, Минимальная зарплата 3500 рублей в день, Обучение перед работой, Скидки на услуги компании 50%, Обед за счет компании, Обязанности:, Полный контроль за сменой, Работа с кассой, Контроль за наличием расходного материала, Открытие и закрытие филиала, Что потребуется от вас:, Знание офисных программ, Дружелюбие||Среднее|Не требуется||17.10.2023 13:26:00|34|
15|https://joblab.ru/vac3151510.html|It-специалист|Музей Русского Десерта|Звенигород|от 60 000 руб.|Гибкий график|Суббота, воскресенье и общероссийские праздники являются обязательными рабочими днями. Выходные в любые будние дни., Ставка-300 руб/час + %, Зарплата выплачивается ежедневно., Гибкий график|Web дизайн, Верстка, Поддержка сайтов|Высшее|От 1 года|Наличие опыта работы|17.10.2023 13:20:00|1377|
16|https://joblab.ru/vac10382634.html|Системный администратор|"ООО ""Авангард Моторс"""|Жуковский|По договоренности|Полный рабочий день|Стабильная работа с бедой зарплатой. Возможность профессионального роста. Оформление по ТК РФ, график: 9.00-18.00, рабочие дни с вторника по субботу., Корпоративная связь, профессиональная поддержка руководителя отдела, вкусные обеды и выпечка со скидкой в корпоративном кафе., Скидка на покупку товаров (авто и мототехники)., Отпуск 2 раза в год.|Администрирование ЛВС компании - на базе Cisco, UniFi, Mikrotik, Администрирование электронной почты компании, Работа со СКУД импортсоздание пользователей, Администрирование серверов 1С., 1С - развертывание на клиентские ПК, Работа с ЭДО (заказать, установить, перенести)., Обслуживание офисного и серверного оборудования, Администрирование систем видео наблюдения, Контактирование с подрядчиками/техслужбой по обслуживанию эл систем вендингового аппарата., Помощь в организации удаленной работы пользователей, Поддержка, консультирование пользователей|Среднее|От 3 лет|Знание и опыт работы c IP ВАТС. Опыт с Windows 2019 Server (AD, DC, DNS, DHCP, TS, DFS)Знание и опыт работы c ЭЦП и криптопровайдерами., Опыт работы с антивиурсной защитой Kaspersky Security Center., Умение общаться с пользователем на понятной языке для него., Стремление к профессиональному росту, ответсвенность.|17.10.2023 13:19:00|122|
17|https://joblab.ru/vac1759363.html|Оператор технической поддержки|"ООО ""ИНКО"""|Коломна|от 25 000 руб.|Сменный график|Оформление согласно ТК РФ., Режим работы 2/2 по 10 часов|Оказание помощи по телефону абонентам компании, Прием и обработка обращений от пользователей, Консультирование клиентов, Первичная диагностика проблем|Среднее специальное|Не требуется|Образование среднее, Опыт работы от 1 года на аналогичной должности желателен, Навыки общения с клиентами, Умение работать в условиях многозадачности, Компьютерная грамотность, продвинутый пользователь ПК, Личностные качества: Доброжелательность, коммуникабельность, стрессоустойчивость, повышенное чувство ответственности, быстрая обучаемость, исполнительность.|17.10.2023 13:13:00|3|
18|https://joblab.ru/vac11176055.html|Оператор call-центра|ИП Целых М.С.|Калуга|34 000 — 45 000 руб.|Сменный график|Полная/частичная занятость, Графики: 2/2 с 12 до 22 с перерывом на обед 1 час 5/2, 4/3 - по договоренности., Работа только в офисе, Заработная плата 34.000-41.000 (оклад + премия) на руки, Оплачиваемое обучение, Официальное трудоустройство, Возможна подработка в дневное/вечернее время.|Прием только входящих звонков (без холодных звонков и продаж), бронирование столов в ресторанах, информационное сопровождение, внесение данных в программу.|Среднее|Не требуется|Для нас важно:, Опыт работы в КЦ приветствуется, Уверенное владение ПК, Грамотная устная и письменная речь, хорошая дикция, Обучаемость, готовность к интенсивному режиму работы, Клиентоориентированность, стрессоустойчивость, вежливая и доброжелательная манера общения.|17.10.2023 13:10:00|2|
19|https://joblab.ru/vac10977931.html|Программист встраиваемых систем|ЭйChaRKa|Москва|от 180 000 руб.|Полный рабочий день|Оформление по ТК РФ, конкурентоспособная заработная плата, полис ДМС, График работы: 5/2 с 8.00/9.00/10.00 до 17.00/18.00/19.00 - по согласованию (гибридный/удаленный формат работы обсуждаем), Возможность профессионального обучения за счет компании, Бесплатная охраняемая автостоянка, оборудованное помещение для приема пищи, неограниченный кофе-брейк, Дружный сплоченный коллектив и интересная корпоративная жизнь (праздники, выезды, спортивные мероприятия), Территориально: м.Дубровка/м.Угрешская, ул.Машиностроения, Уровень дохода обсуждается в каждым кандидатом индивидуально.|Участие в разработке программно-аппаратных комплексов регистрации широкополосных аналоговых сигналов в цифровой форме. Разработка тестового и отладочного ПО для ПК.|Среднее специальное|От 1 года|"Высшее техническое образование в области автоматики и вычислительной техники., Умение программировать на С, С++, умение разбираться в ""чужом"" коде., Умение читать структурные и принципиальные электрические схемы, работать с измерительным оборудованием., Опыт работы с интерфейсами UART, USB, SPI, I2C, I2S, PWM, SDIO., Опыт разработки тестового и отладочного ПО для ПК., Опыт работы в системах контроля версий., Желателен опыт работы с микроконтроллерами ARM, MSP430, TMS320., Желателен опыт программирования под RTOS (FreeRTOS) и Linux., Знание английского языка на уровне свободного чтения технической литературы."|17.10.2023 13:08:00|45|
20|https://joblab.ru/vac9528871.html|Системный администратор (в ИТ отдел)|"ООО ""ПромТехно"""|Серпухов|35 000 — 45 000 руб.|Полный рабочий день|В Крупной Российской Компании европейского уровня - ведущему поставщику торгового оборудования в г. Серпухове требуется, Системный администратор / Специалист технической поддержки, график работы: 5 дней в неделю, с 08-00 до 17-00, з/п - оклад + премии, соблюдение ТК РФ, соц. пакет, работа в дружном молодом коллективе, бесплатное обучение в процессе работы.|мониторинг ИТ систем и инфраструктуры, анализ и решение инцидентов, связанных с работоспособностью сетевого оборудования пользователей, технически грамотная обработка входящих обращений от пользователей: телефон и почта, соблюдение регламентов и стандартов работы|Среднее|Не требуется|образование среднее, средне - специальное , представление о системах ИТ, коммуникациях и компьютерных сетях, базах данных, понимание работы интернет сетей, быстрая обучаемость, коммуникабельность‚ ответственность, рассматриваем студентов заочной и вечерней форм обучения, умение четко и ясно выражать свои мысли.|17.10.2023 13:07:00|31|
