|job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
10|https://joblab.ru/vac11169262.html|Инженер IT|"ГК ""ТРИАЛИНК"""|Москва|По договоренности|Полный рабочий день|Интересная работа в динамично развивающейся компании, Работа в интересных проектах, Реальные возможности карьерного роста и развития внутри компании, Достойная, стабильная заработная плата, Заработная плата по результатам собеседования, Официальное трудоустройство в рамках ТК РФ, Уютный комфортный офис в шаговой доступности от м. Тульская, Пятидневная рабочая неделя с 09:30-18:00 часов, Возможность карьерного роста, Участие в образовательных программах.|Изменения конфигураций, базовых настроек, кроссировки и подключение ПАК (оборудование может весить более 10 кг), Поддержка и сопровождение разрабатываемых программно-аппаратных комплексов, Диагностика оборудования, тесты компонентов, Взаимодействие с разработчиками по вопросам подготовки обновленных версий ПО и баз данных, Участие в пуско-наладочных работах, Участие в развитии функционала технической поддержки, включая внедрение необходимых для этого технических средств, Взаимодействие с телеком-операторами.|Высшее|От 3 лет|Высшее техническое образование (IT), Опыт работы в области технической поддержки пользователей специализированного ПО, Навыки развертывания и настройки общесистемного программного обеспечения, Знание операционных систем на базе Linux, Понимание принципов работы локальных сетей и сетевого оборудования, ПК - продвинутый пользователь, Внимательность к деталям, высокая самоорганизованность, быстрая обучаемость.|18.10.2023 09:35:00|35|
11|https://joblab.ru/vac11169339.html|Разработчик Java|"ГК ""ТРИАЛИНК"""|Москва|По договоренности|Полный рабочий день|Интересная работа в динамично развивающейся компании, Работа в интересных проектах, Реальные возможности карьерного роста и развития внутри компании, Достойная, стабильная заработная плата, Заработная плата по результатам собеседования, Официальное трудоустройство в рамках ТК РФ, Уютный комфортный офис в шаговой доступности от м.Тульская, Пятидневная рабочая неделя с 09:30-18:00 часов, Возможность карьерного роста, Участие в образовательных программах.|Проектирование и реализация серверной части на Java/Kotlin, Разрабатывать новый функционал и рефакторить существующий, Участвовать в проработке архитектуры проекта, Интеграция с внешними сервисами, обеспечение безопасности, оптимизация производительности, устранение проблем с программным обеспечением, Техническое развитие проекта, исследование новых технологий и их интеграция, Документировать результаты своей работы.|Высшее|От 2 лет|Высшее техническое образование или среднее профессиональное (IT), Опыт работы на Java от 2 лет и Kotlin от 1 года, Понимание ООП, паттернов проектирования, Владение Java core (8 версии и выше), Сollections, многопоточность, микросервисы, Опыт работы с реляционными базами данных (PostgreSQL, MySQL), Опыт работы с Vaadin Framework приветствуется, Опыт разработки REST API, понимание протоколов HTTP/HTTPS, Опыт написания юнит-тестов, Опыт работы с UNIX-based OS, Shell, Git, Docker, Linux, ПК- продвинутый пользователь, Знание программ Git, Docker, Linux, PostgreSQL, MySQL, Vaadin Framework, Исполнительность, обучаемость.|18.10.2023 09:35:00|38|
12|https://joblab.ru/vac10194292.html|Инженер по ремонту оргтехники (МФУ)|"ООО ""ОПС"""|Москва|70 000 — 100 000 руб.|Полный рабочий день|Полное соблюдение Трудового законодательства РФ (Оформление в штат с первого дня работы)., График работы: 5/2 с 9. 00 до 18. 00, 90% работы на выезде, Москва и Московская область, Оплата проезда и телефонной связи., Уровень дохода от 70 000 до 100 000 рублей.|1. Выезд на адрес нашего клиента с целью ремонта (модульный) и настройки разноформатных принтеров, сканеров, плоттеров и других видов МФУ., 2. Заполнение отчетных и финансовых документов при работе с клиентами., 3. Грамотное и корректное изложение мыслей., 4. Ремонт и обслуживание копировально-множительного оборудования в офисе и с выездом к заказчику, 5. Гарантийный и послегарантийный ремонт, инсталляция, 6. Идентификация и устранение проблем, профилактика, консультации пользователей|Среднее специальное|От 3 лет|Нам важно, чтобы Вы:, Понимали как устроены принтеры и МФУ разных производителей, умели решать возникающие с ними проблемы, а также настраивать драйвера к ним и их в целом., Были уверенным пользователем ПК, мессенджеров и электронной почты., Умели общаться с клиентами на деловом уровне., Были отзывчивы в помощи коллегам и новичкам., Опыт работы по специальности от 3-х лет., Знание устройства и принципа работы копировальной-множительной техники, Опыт работы с основными брендами: Ricoh, Xerox, Konica Minolta, HP, Kyocera, Konica Minolta, Sharp и т. п., Наличие сертификатов является преимуществом, Умение пользоваться технической документацией., Владение компьютером на уровне продвинутого пользователя, Аккуратность и исполнительность в работе, Активная жизненная позиция, динамичность, желание развития и получения новых знаний по профессии.|18.10.2023 09:34:00|116|
13|https://joblab.ru/vac10397342.html|Продакт менеджер/Product manager|"ООО ""ОПС"""|Москва|75 000 — 120 000 руб.|Полный рабочий день|"График работы 5/2 с 9 до 18 часов, интересная работа и задачи., Соблюдение ТК РФ., Оклад + премия (матрицу дохода обсуждаем с успешным кандидатом)., Территориально место работа в шаговой доступности от МЦК (станции метро) ""Владыкино"" в Бизнес-Центре., Уважаемые кандидаты! Для нас важен релевантный опыт! Опыт работы других сфер деятельности, в настоящее время мы не рассматриваем."|Основные обязанности:, Построение плана технической реализации задачи, Работа с текущей базой поставщиков в РФ и в Китае, Техническая консультация заказчиков и клиентов подбор необходимых комплектующих (ЗИП (запасные части, инструменты и принадлежности), электронные компоненты, комплектующие к IT-оборудованию), ПО, Анализ рынка продукции и цен, Анализ технических требований заказчика, Организация и ведение переговоров с крупными заказчиками в рамках поддержки продаж, Поиск альтернативных позиций, Анализ потребностей Клиентов, подбор необходимой спецификации продукта, Работа с Заказчиками и менеджерами по продажам Компании по техническим вопросам, Обеспечение высокого уровня надежности поставок и качества услуг, предоставляемых поставщиками, анализ рынка, мониторинг ценообразования и условий., Поиск и работа с Российскими поставщиками, Поиск новых поставщиков комплектующих вне РФ. Заключение и ведение контрактов с новыми поставщиками вне РФ на поставку вышеупомянутых материалов и комплектующих., Отслеживание новинок, хитов и рекламных товаров, Мониторинг рынка и анализ конкурентов.|Высшее|От 3 лет|"Опыт работы в закупках от 5 лет (предпочтительно электроника, компьютеры, оргтехника), Знание поставщиков по совместимым картриджам (будет Вашим преимуществом)., Высшее техническое профильное образование (информационные технологии, электроника и автоматика, электронные средства в автоматизации, информатика и электроэнергетика, связь и информатика, информационная безопасность и радиотехника и др.), Знание компьютерного ""железа"", современных компьютерных технологий., Хорошие коммуникативные навыки, умение располагать к себе собеседника, обучаемость, настойчивость в достижении цели., В кандидате также важны:, Системность и аналитический склад ума, Внимательность и хорошая обучаемость, Знание английского языка на уровне не ниже Upper Intermediate, для обсуждения условий сотрудничества на встречах и в переписке, а также для изучения информации на иностранных сайтах, Опыт переговоров с поставщиками, Знание стандартного набора офисных программ и 1С предприятие обязательно, Внимательность и аккуратность при работе с документами, Опыт работы pre-sale или product manager будет преимуществом, Умение работать в режиме многозадачности, Умение ставить себе цели и задачи на день/неделю/месяц (планирование рабочего дня)"|18.10.2023 09:34:00|33|
14|https://joblab.ru/vac10668713.html|Инженер оргтехники|"ООО ""ОПС"""|Москва|75 000 — 95 000 руб.|Полный рабочий день|Полное соблюдение Трудового законодательства РФ (Оформление в штат с первого дня работы)., График работы: 5/2 с 9. 00 до 18. 00, 90% работы на выезде, Москва и Московская область, Оплата проезда и телефонной связи., Уровень дохода от 70 000 до 100 000 рублей.|1.Выезд на адрес нашего клиента с целью ремонта (модульный) и настройки разноформатных принтеров, сканеров, плоттеров и других видов МФУ (ремонт и диагностика лазерных принтеров и МФУ формата А4 и А3 (HP, Kyocera, Xerox, Ricoh, Brother и др.) как в стационаре, так и на выезде)., 2. Заполнение отчетных и финансовых документов при работе с клиентами (подготовка технических заключений по результатам диагностики оформление ремонтных событий в базе данных)., 3. Грамотное и корректное изложение мыслей., 4. Ремонт и обслуживание копировально-множительного оборудования в офисе и с выездом к заказчику, 5. Гарантийный и послегарантийный ремонт, инсталляция, 6. Идентификация и устранение проблем, профилактика, консультации пользователей|Высшее|От 2 лет|"Приглашаем универсала, нового члена нашей команды, который будет делать свою работу ""на совесть""., 1. Необходим опыт ремонта и обслуживания оргтехники марок Hewlett Packard, Xerox, Kyocera, Canon, Samsung, Epson и т.д. - от 2 лет, 2. Навыки работы в интенсивном режиме , 3. Желание развиваться, ответственность, исполнительность, добросовестность, пунктуальность. , Наличие сертификатов будет приоритетом."|18.10.2023 09:34:00|111|
15|https://joblab.ru/vac11206419.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Чехов|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:33:00|2|
16|https://joblab.ru/vac11206418.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Ступино|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:33:00|2|
17|https://joblab.ru/vac11206417.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Подольск|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:33:00|2|
18|https://joblab.ru/vac11206416.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Михнево|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:32:00|2|
19|https://joblab.ru/vac11206414.html|Инженер по технической поддержке (Системный администратор IT отдела)|"ООО ""Глобал Трак Сервис Пушкино"""|Климовск|от 65 000 руб.|Полный рабочий день|"Открывается новая станция по ремонту и обслуживанию грузовых автомобилей., Место работы: г. Домодедово, мкр-н Белые Столбы. Индустриальный парк ""Южные Врата"", стр. 38, склад 104, График работы 5/2 с 9:00 до 18:00, Столовая на территории предприятия., Оформление по ТК РФ."|Установка на серверы и рабочие станции сетевого программного обеспечения, Конфигурация системы на сервере, Обеспечение интегрирования программного обеспечения на файл-серверах, Поддержание рабочего состояния программного обеспечения сервера и рабочих станций, Регистрация пользователей, назначение идентификаторов и паролей, контроль использования сетевых ресурсов, Обеспечение своевременного копирования и резервирования данных, Участие в восстановлении работоспособности системы при сбоях и выходе из строя сетевого оборудования, Проведение мониторинга сети, разработка предложений по развитию инфраструктуры сети, Выполнение служебных поручений своего непосредственного руководителя.|Среднее|От 1 года|Грамотность, ответственность, исполнительность|18.10.2023 09:32:00|2|
